675,201,810,201,810,306,675,306,###
742,355,758,355,758,384,742,384,###
871,353,967,353,967,387,871,387,Cable
985,355,1112,355,1112,388,985,388,DLR-3P
604,504,723,504,723,538,604,538,A4382
603,586,667,586,667,606,603,606,Nokia
599,634,659,634,659,655,599,655,6210
599,682,692,682,692,703,599,703,DLR-3P
703,686,755,686,755,706,703,706,Data
765,688,833,688,833,709,765,709,Cable
1037,964,1331,964,1331,1106,1037,1106,###
933,1103,1329,1103,1329,1199,933,1199,###
1185,777,1338,777,1338,966,1185,966,###
1013,453,1343,453,1343,601,1013,601,###
893,594,1306,594,1306,740,893,740,###
650,841,1066,841,1066,1053,650,1053,###
788,694,1193,694,1193,889,788,889,###
505,1010,952,1010,952,1198,505,1198,###
383,638,729,638,729,820,383,820,###
317,812,674,812,674,970,317,970,###
319,958,549,958,549,1108,319,1108,###
319,473,498,473,498,612,319,612,###
636,417,1022,417,1022,525,636,525,###
820,202,1146,202,1146,310,820,310,KIA
763,357,854,357,854,393,763,393,apter
